stimulus	duration
Fish-Cl_	7
Fish-Pi_	7
Transportation-Va_	7
Spice-Pe_	7
Body*Part-No_	7
Sport-Ho_	7
Land*Formation-Vo_	7
Spice-Th_	7
Body*Part-Fo_	7
Land*Formation-La_	7
Sport-Lac_	7
Transportation-Air_	7
Sport-Te_	7
Transportation-Mot_	7
Body*Part-Mo_	7
Land*Formation-Mou_	7
Spice-Nu_	7
Land*Formation-Oc_	7
Sport-Foo_	7
Body*Part-To_	7
Spice-Cin_	7
Transportation-Hel_	7
Land*Formation-Oc_	7
Spice-Nu_	7
Body*Part-No_	7
Transportation-Hel_	7
Sport-Lac_	7
Spice-Pe_	7
Body*Part-Mo_	7
Sport-Ho_	7
Transportation-Va_	7
Land*Formation-Mou_	7
Body*Part-To_	7
Transportation-Air_	7
Sport-Foo_	7
Spice-Cin_	7
Land*Formation-La_	7
Body*Part-Fo_	7
Transportation-Mot_	7
Land*Formation-Vo_	7
Spice-Th_	7
Sport-Te_	7
Fish-Cl_	7
Fish-Pi_	7
