stimulus	duration
Fish-Trout	6
Fish-Salmon	6
Country-Mexico	6
Furniture-Sofa	6
Sport-Tennis	6
Bird-Bluejay	6
Transportation-Van	6
Relative-Aunt	6
Spice-Pepper	6
Land*Formation-Lake	6
Body*Part-Toe	6
Dance-Hip*Hop	6
Spice-Thyme	6
Land*Formation-Mountain	6
Bird-Parrot	6
Sport-Football	6
Furniture-Ottoman	6
Transportation-Airplane	6
Body*Part-Nose	6
Dance-Tango	6
Country-Spain	6
Relative-Sister	6
Country-Canada	6
Relative-Uncle	6
Land*Formation-Ocean	6
Bird-Hawk	6
Body*Part-Foot	6
Spice-Nutmeg	6
Transportation-Motorcycle	6
Dance-Cha*Cha	6
Furniture-Chair	6
Sport-Hockey	6
Transportation-Helicopter	6
Furniture-Nightstand	6
Dance-Ballet	6
Relative-Cousin	6
Land*Formation-Volcano	6
Bird-Sparrow	6
Body*Part-Mouth	6
Spice-Cinnamon	6
Country-France	6
Sport-Lacrosse	6
Fish-Bass	6
Fish-Goldfish	6
