stimulus	duration
Fish-T_	10
Fish-S_	10
Sport-L_	10
Dance-C_	10
Spice-T_	10
Bird-B_	10
Furniture-O_	10
Body*Part-F_	10
Country-S_ 10
Transportation-H_	10
Land*Formation-L_	10
Relative-C_	10
Body*Part-N_	10
Bird-P_	10
Relative-A_	10
Transportation-V_	10
Furniture-N_	10
Land*Formation-O_	10
Dance-B_	10
Country-M_	10
Spice-P_	10
Sport-T_	10
Body*Part-M_	10
Bird-S_	10
Country-C_	10
Spice-C_	10
Transportation-M_	10
Dance-T_	10
Relative-U_	10
Sport-H_	10
Land*Formation-M_	10
Furniture-S_	10
Sport-F_	10
Body*Part-T_	10
Transportation-A_	10
Country-F_	10
Dance-H_	10
Land*Formation-V_	10
Spice-N_	10
Relative-S_	10
Bird-H_	10
Furniture-C_	10
Fish-G_	10
Fish-B_	10
