stimulus	duration
Shoelace-Sit	10
Shoelace-Tie	10
Ball-Floor	10
Pencil-Mug	10
Bowl-Spin	10
Pencil-Sharpener	10
Needle-Staple	10
Bowl-Placemat	10
Ball-Table	10
Bowl-Knee	10
Needle-Thread	10
Pencil-Case	10
Ball-Stab	10
Needle-Candle	10
Pencil-Mug	10
Bowl-Spin	10
Ball-Stab	10
Pencil-Sharpener	10
Needle-Candle	10
Ball-Floor	10
Bowl-Placemat	10
Ball-Table	10
Needle-Staple	10
Bowl-Knee	10
Needle-Thread	10
Pencil-Case	10
Needle-Candle	10
Ball-Stab	10
Pencil-Case	10
Bowl-Placemat	10
Needle-Thread	10
Bowl-Spin	10
Ball-Table	10
Bowl-Knee	10
Needle-Staple	10
Pencil-Mug	10
Ball-Floor	10
Pencil-Sharpener	10
Shoelace-Wrap	10
Shoelace-Mug	10
