stimulus	duration
Fish-Cl_	7
Fish-Pi_	7
Country-Me_	7
Relative-Au_	7
Bird-Pa_	7
Furniture-Ch_	7
Dance-Ba_	7
Relative-Si_	7
Bird-Ha_	7
Dance-Hi_	7
Furniture-Nig_	7
Country-Sp_	7
Furniture-So_	7
Country-Ca_	7
Bird-Sp_	7
Dance-Ta_	7
Relative-Un_	7
Dance-Ch_	7
Furniture-Ot_	7
Bird-Bl_	7
Relative-Co_	7
Country-Fr_	7
Dance-Ch_	7
Relative-Un_	7
Bird-Pa_	7
Country-Fr_	7
Furniture-Nig_	7
Relative-Au_	7
Bird-Sp_	7
Furniture-Ch_	7
Country-Me_	7
Dance-Ta_	7
Bird-Bl_	7
Country-Sp_	7
Furniture-Ot_	7
Relative-Co_	7
Dance-Hi_	7
Bird-Ha_	7
Country-Ca_	7
Dance-Ba_	7
Relative-Si_	7
Furniture-So_	7
Fish-Cl_	7
Fish-Pi_	7
