subjNum	stimulus	duration	RT
283.000000	5+7=	5.000000	3.854861
283.000000	3+6=	5.000000	2.141443
283.000000	2+4=	5.000000	1.032530
283.000000	8+9=	5.000000	2.366960
283.000000	2+9=	5.000000	2.688852
283.000000	2+3=	5.000000	1.238534
283.000000	4+8=	5.000000	3.317006
283.000000	9+9=	5.000000	1.049039
283.000000	5+9=	5.000000	1.639149
283.000000	7+8=	5.000000	1.965809
283.000000	3+7=	5.000000	1.007448
283.000000	2+8=	5.000000	1.687668
283.000000	3+4=	5.000000	1.524414
283.000000	2+7=	5.000000	1.071667
283.000000	3+3=	5.000000	1.580952
283.000000	6+9=	5.000000	1.318102
283.000000	4+9=	5.000000	2.537931
283.000000	6+8=	5.000000	2.644606
283.000000	4+5=	5.000000	0.947845
283.000000	7+9=	5.000000	1.413353
283.000000	4+6=	5.000000	1.396737
283.000000	4+4=	5.000000	1.332974
283.000000	5+8=	5.000000	3.655817
283.000000	4+7=	5.000000	3.510640
283.000000	6+6=	5.000000	0.884224
283.000000	5+5=	5.000000	0.912164
283.000000	3+5=	5.000000	0.891835
283.000000	3+9=	5.000000	3.440064
283.000000	7+7=	5.000000	1.007416
283.000000	5+6=	5.000000	1.175440
283.000000	2+5=	5.000000	0.992676
283.000000	8+8=	5.000000	0.793065
283.000000	2+6=	5.000000	1.242327
283.000000	2+2=	5.000000	0.776604
283.000000	3+8=	5.000000	2.441686
283.000000	6+7=	5.000000	4.113238
