subjNum	stimulus	duration	RT
282.000000	5+7=	5.000000	3.252120
282.000000	3+6=	5.000000	1.658995
282.000000	2+4=	5.000000	1.065479
282.000000	8+9=	5.000000	1.206803
282.000000	2+9=	5.000000	1.191125
282.000000	2+3=	5.000000	0.824306
282.000000	4+8=	5.000000	2.032075
282.000000	9+9=	5.000000	1.429716
282.000000	5+9=	5.000000	1.044723
282.000000	7+8=	5.000000	3.402966
282.000000	3+7=	5.000000	3.444163
282.000000	2+8=	5.000000	1.660798
282.000000	3+4=	5.000000	1.505749
282.000000	2+7=	5.000000	1.735118
282.000000	3+3=	5.000000	1.016716
282.000000	6+9=	5.000000	1.120216
282.000000	4+9=	5.000000	1.811500
282.000000	6+8=	5.000000	2.363206
282.000000	4+5=	5.000000	1.333495
282.000000	7+9=	5.000000	1.391939
282.000000	4+6=	5.000000	1.041185
282.000000	4+4=	5.000000	0.951877
282.000000	5+8=	5.000000	1.385819
282.000000	4+7=	5.000000	1.434906
282.000000	6+6=	5.000000	1.041479
282.000000	5+5=	5.000000	0.841076
282.000000	3+5=	5.000000	1.110147
282.000000	3+9=	5.000000	1.082752
282.000000	7+7=	5.000000	0.895314
282.000000	5+6=	5.000000	2.371867
282.000000	2+5=	5.000000	1.189782
282.000000	8+8=	5.000000	1.278527
282.000000	2+6=	5.000000	2.139318
282.000000	2+2=	5.000000	0.974269
282.000000	3+8=	5.000000	1.408783
282.000000	6+7=	5.000000	1.319478
