subjNum	stimulus	duration	RT
259.000000	5+7=	5.000000	1.138685
259.000000	3+6=	5.000000	0.956835
259.000000	2+4=	5.000000	1.126882
259.000000	8+9=	5.000000	1.090163
259.000000	2+9=	5.000000	1.318788
259.000000	2+3=	5.000000	0.995034
259.000000	4+8=	5.000000	0.874579
259.000000	9+9=	5.000000	1.016372
259.000000	5+9=	5.000000	0.983635
259.000000	7+8=	5.000000	1.008003
259.000000	3+7=	5.000000	0.912100
259.000000	2+8=	5.000000	1.011663
259.000000	3+4=	5.000000	1.203753
259.000000	2+7=	5.000000	1.179613
259.000000	3+3=	5.000000	1.020997
259.000000	6+9=	5.000000	2.499496
259.000000	4+9=	5.000000	1.272107
259.000000	6+8=	5.000000	1.277118
259.000000	4+5=	5.000000	1.043266
259.000000	7+9=	5.000000	1.313756
259.000000	4+6=	5.000000	1.013093
259.000000	4+4=	5.000000	0.980379
259.000000	5+8=	5.000000	1.229084
259.000000	4+7=	5.000000	1.123926
259.000000	6+6=	5.000000	0.983342
259.000000	5+5=	5.000000	0.855952
259.000000	3+5=	5.000000	0.869666
259.000000	3+9=	5.000000	1.724244
259.000000	7+7=	5.000000	1.046465
259.000000	5+6=	5.000000	1.180727
259.000000	2+5=	5.000000	0.917327
259.000000	8+8=	5.000000	1.128661
259.000000	2+6=	5.000000	1.059363
259.000000	2+2=	5.000000	0.953934
259.000000	3+8=	5.000000	1.004664
259.000000	6+7=	5.000000	1.003732
